"VOUT_temp (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:tt_lib) X","VOUT_temp (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:tt_lib) Y","VOUT_temp (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ss_lib) X","VOUT_temp (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ss_lib) Y","VOUT_temp (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ff_lib) X","VOUT_temp (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ff_lib) Y"
-40,2.679524968916371,-40,2.49471924336042,-40,2.851602554471428
-39,2.676663698073765,-39,2.491555667248554,-39,2.849006711283762
-38,2.673810837833031,-38,2.488401097144309,-38,2.846418494695427
-37,2.670966354011184,-37,2.48525559126581,-37,2.843838059892465
-36,2.668130208755406,-36,2.482119109444058,-36,2.841265371075116
-35,2.665302364569307,-35,2.478991611891037,-35,2.838700392778402
-34,2.662482784307741,-34,2.475873059194146,-34,2.83614308986738
-33,2.659671431171767,-33,2.47276341231082,-33,2.833593427532338
-32,2.656868268703702,-32,2.469662632563225,-32,2.831051371284154
-31,2.654073260782188,-31,2.466570681632961,-31,2.828516886949702
-30,2.651286371617445,-30,2.463487521556036,-30,2.825989940667377
-29,2.648507565746532,-29,2.460413114717738,-29,2.82347049888261
-28,2.645736808028746,-28,2.457347423847723,-28,2.820958528343594
-27,2.642974063641043,-27,2.454290412015171,-27,2.818453996096992
-26,2.640219298073611,-26,2.451242042623937,-26,2.815956869483708
-25,2.637472477125458,-25,2.448202279407928,-25,2.813467116134831
-24,2.634733566900079,-24,2.445171086426422,-24,2.810984703967521
-23,2.632002533801269,-23,2.442148428059586,-23,2.808509601181071
-22,2.629279344528923,-22,2.439134269003997,-22,2.806041776253003
-21,2.626563966074941,-21,2.436128574268235,-21,2.803581197935184
-20,2.623856365719206,-20,2.433131309168615,-20,2.801127835250059
-19,2.621156511025625,-19,2.430142439324899,-19,2.798681657486961
-18,2.618464369838258,-18,2.427161930656193,-18,2.79624263419843
-17,2.615779910277439,-17,2.424189749376769,-17,2.79381073519662
-16,2.613103100736098,-16,2.421225861992135,-16,2.791385930549815
-15,2.610433909875961,-15,2.418270235294988,-15,2.788968190578869
-14,2.607772306623983,-14,2.41532283636137,-14,2.786557485853873
-13,2.605118260168751,-13,2.412383632546806,-13,2.784153787190733
-12,2.602471739956941,-12,2.40945259148255,-12,2.7817570656479
-11,2.59983271568988,-11,2.406529681071877,-11,2.779367292523131
-10,2.597201157320134,-10,2.403614869486418,-10,2.776984439350232
-9,2.594577035048127,-9,2.400708125162588,-9,2.774608477895963
-8,2.591960319318883,-8,2.397809416798051,-8,2.772239380156938
-7,2.589350980818743,-7,2.394918713348237,-7,2.769877118356554
-6,2.586748990472211,-6,2.392035984022902,-6,2.76752166494198
-5,2.584154319438767,-5,2.389161198282802,-5,2.765172992581268
-4,2.581566939109784,-4,2.386294325836373,-4,2.762831074160376
-3,2.578986821105516,-3,2.383435336636416,-3,2.760495882780357
-2,2.576413937272024,-2,2.380584200876948,-2,2.75816739175451
-1,2.573848259678308,-1,2.377740888990004,-1,2.755845574605649
0,2.571289760613339,0,2.374905371642538,0,2.753530405063323
1,2.568738412583217,1,2.37207761973335,1,2.751221857061183
2,2.566194188308358,2,2.369257604390077,2,2.748919904734277
3,2.563657060720709,3,2.36644529696619,3,2.746624522416507
4,2.561127002961008,4,2.36364066903811,4,2.744335684638008
5,2.558603988376104,5,2.360843692402297,5,2.742053366122673
6,2.556087990516296,6,2.358054339072406,6,2.739777541785602
7,2.553578983132708,7,2.3552725812765,7,2.737508186730707
8,2.551076940174745,8,2.352498391454274,8,2.735245276248244
9,2.548581835787525,9,2.349731742254367,9,2.732988785812485
10,2.546093644309398,10,2.34697260653165,10,2.730738691079323
11,2.543612340269465,11,2.344220957344606,11,2.728494967883993
12,2.541137898385151,12,2.341476767952756,12,2.72625759223877
13,2.538670293559846,13,2.338740011814012,13,2.72402654033075
14,2.536209500880492,14,2.336010662582254,14,2.72180178851962
15,2.533755495615307,15,2.333288694104759,15,2.719583313335446
16,2.531308253211457,16,2.330574080419788,16,2.717371091476597
17,2.528867749292808,17,2.327866795754162,17,2.715165099807548
18,2.526433959657699,18,2.325166814520853,18,2.712965315356834
19,2.524006860276756,19,2.322474111316631,19,2.710771715314967
20,2.52158642729069,20,2.319788660919784,20,2.708584277032413
21,2.519172637008189,21,2.31711043828777,21,2.706402978017571
22,2.516765465903801,22,2.314439418555002,22,2.704227795934815
23,2.514364890615853,23,2.31177557703057,23,2.702058708602544
24,2.511970887944401,24,2.309118889196137,24,2.699895693991205
25,2.509583434849202,25,2.306469330703647,25,2.697738730221465
26,2.507202508447699,26,2.30382687737328,26,2.695587795562302
27,2.504828086013108,27,2.301191505191304,27,2.693442868429142
28,2.502460144972386,28,2.298563190307978,28,2.691303927382052
29,2.500098662904383,29,2.295941909035524,29,2.689170951123942
30,2.497743617537909,30,2.293327637846074,30,2.68704391849877
31,2.495394986749876,31,2.290720353369672,31,2.684922808489788
